Entity,Code,Year,cumulative_launches
Vietnam,VNM,2019,6
World,OWID_WRL,1961,82
World,OWID_WRL,1962,159
World,OWID_WRL,1963,231
World,OWID_WRL,1964,338
World,OWID_WRL,1965,501
World,OWID_WRL,1966,646
World,OWID_WRL,1967,805
World,OWID_WRL,1968,945
World,OWID_WRL,1969,1083
World,OWID_WRL,1970,1213
World,OWID_WRL,1971,1369
World,OWID_WRL,1972,1502
World,OWID_WRL,1973,1640
World,OWID_WRL,1974,1768
World,OWID_WRL,1975,1926
World,OWID_WRL,1976,2084
World,OWID_WRL,1977,2221
World,OWID_WRL,1978,2386
World,OWID_WRL,1979,2510
World,OWID_WRL,1980,2640
World,OWID_WRL,1981,2798
World,OWID_WRL,1982,2943
World,OWID_WRL,1983,3097
World,OWID_WRL,1984,3260
World,OWID_WRL,1985,3425
World,OWID_WRL,1986,3559
World,OWID_WRL,1987,3694
World,OWID_WRL,1988,3839
World,OWID_WRL,1989,3978
World,OWID_WRL,1990,4146
World,OWID_WRL,1991,4281
World,OWID_WRL,1992,4411
World,OWID_WRL,1993,4519
World,OWID_WRL,1994,4642
World,OWID_WRL,1995,4747
World,OWID_WRL,1996,4847
World,OWID_WRL,1997,4999
World,OWID_WRL,1998,5156
World,OWID_WRL,1999,5285
World,OWID_WRL,2000,5406
World,OWID_WRL,2001,5492
World,OWID_WRL,2002,5588
World,OWID_WRL,2003,5676
World,OWID_WRL,2004,5750
World,OWID_WRL,2005,5822
World,OWID_WRL,2006,5917
World,OWID_WRL,2007,6028
World,OWID_WRL,2008,6137
World,OWID_WRL,2009,6262
World,OWID_WRL,2010,6382
World,OWID_WRL,2011,6511
World,OWID_WRL,2012,6645
World,OWID_WRL,2013,6855
World,OWID_WRL,2014,7096
World,OWID_WRL,2015,7318
World,OWID_WRL,2016,7539
World,OWID_WRL,2017,7995
World,OWID_WRL,2018,8448
World,OWID_WRL,2019,9034
World,OWID_WRL,2020,10308
World,OWID_WRL,2021,12118
World,OWID_WRL,2022,14281
